product link,product name,product cost,product review,no of reviews
/Impulse-Diggy-Backpack-Resistant-Teal/dp/B0CJHHX1QC,Impulse Diggy 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,399,4.0 out of 5 stars,22
/Dell-DELL-GMBP1720M-Gaming-Backpack/dp/B0842XB4BN,Dell Gaming Backpack for Laptops (Black),"2,390",4.3 out of 5 stars,"2,174"
/KILLER-Polyester-Navy-Laptop-Backpack/dp/B07B51CTNF,KILLER Casual College Bags Munich 29L Trendy Polyester Laptop Backpack,"1,119",4.1 out of 5 stars,734
/American-Tourister-FS0-11-001/dp/B07S13P8BW,American Tourister Spin 49 cms Teal Laptop Backpack,"1,099",4.0 out of 5 stars,"1,508"
/Gear-Executive-Anti-Theft-Backpack-BKPPKREXE0101/dp/B097KCMQKG,Gear Parker 23L Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women - Black,695,4.3 out of 5 stars,492
/Fastrack-Womens-Sling-Bag-Black/dp/B07MGXR7LT,Fastrack Women's Sling Bag (Black),"1,345",4.0 out of 5 stars,80
/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TDGVLVM,"Presto! Oxo-Biodegradable Garbage Bags, Small - 30 bags/roll (Pack of 6, Green, For Wet Waste)",299,4.4 out of 5 stars,544
/Nautica-Leatherette-Comfortable-Travelling-Suitable/dp/B0BQMQQJK4,"Nautica Duffle Bag for Travel | Stylish Leatherette Luggage | Compact and Comfortable for Travelling | Suitable for Men's and Women's One Size (Black, 15 cms)","1,299",4.2 out of 5 stars,77
/Amazon-Basics-Laptop-College-Backpack/dp/B0C8NSJ4RD,"Amazon Basics Opel Laptop Bag/Office/College Backpack for 15.6 inch laptop(20 L, Grey)",499,4.0 out of 5 stars,8
/Gear-Inspired-Moving-training-DUFINDAVMVG05/dp/B08DV7YZL6,Gear Inspired Alive Moving 33L Large Water Resistant Travel Duffle Bag/Gym Bag/Sports Duffle for Men/Women (Blue),399,4.3 out of 5 stars,"1,342"
/Deal-Polyester-Backpack-Computer-Resistant/dp/B08RC39B71,"The Deal Men's 15.6 Inch Polyester Casual Laptop Backpack, Travel Computer Bag Water Resistant College Work School Bag (Blue)",399,3.4 out of 5 stars,502
/MEDLER-Nylon-Expandable-Duffel-Trolley/dp/B07MWD4D4W,M MEDLER Epoch Nylon 55 litres Waterproof Strolley Duffle Bag- 2 Wheels - Luggage Bag - (Navy Blue),399,3.5 out of 5 stars,"26,285"
/INOVERA-Water-Resistance-Toiletries-Cosmetics-Organizer/dp/B0BPYCBPTT,INOVERA (LABEL) Faux Leather Water-Resistance Toiletries Cosmetics Makeup Storage Organizer Bag for Girls and Women< Rose Gols (Rose Gold),259,4.3 out of 5 stars,184
/Travalate-Waterproof-Polyester-Duffle-Travel/dp/B07S3FW7Z5,"Travalate Polyester 45 L Multi Pocket Ultra Light Travel Duffle Bag Organizer for Men and Women (Green, 20 X 18 X 11 Inch)",878,3.9 out of 5 stars,"1,326"
/Killer-Backpack-Compartments-Polyester-Waterproof/dp/B07CDD6YS2,KILLER Louis 38L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack,"1,749",4.4 out of 5 stars,"9,472"
/F-Gear-Milestone-Casual-Laptop-Backpack/dp/B08FX1R6WY,F Gear Milestone Olive Casual 20 Ltrs Laptop Backpack (3376),"1,155",4.0 out of 5 stars,856
/Lino-Perros-women-shoulder-OFFWHITE/dp/B09P69ZNBP,Lino Perros women fancy shoulder bag,868,4.1 out of 5 stars,168
/Mi-Business-Casual-Resistant-Backpack/dp/B07YY6PTMN,MI Business Casual 21L Water Resistant Laptop Backpack,749,4.4 out of 5 stars,"4,682"
/Caprese-Yondella-Womens-Sling-Peach/dp/B07B9FBW14,Caprese Yondella Women's Sling Bag,965,4.1 out of 5 stars,"1,324"
/Genie-Backpack-Resistant-Lightweight-Travelling/dp/B097JK2J2X,"Genie Kira Laptop Backpack for Women in pastel Lavender colour. More Volume, 3 zips, Stylish & Trendy College Bags for Girls, Water Resistant, Lightweight Bags for Office, Travelling. 36 litres. 19""",999,5.0 out of 5 stars,1
/DZert-Polyester-Pink-School-Backpack/dp/B077VFZHLL,DZert School Bag Backpack 30 Liters for Boys/Girls Polyester Lightweight Bag (Pink),319,3.6 out of 5 stars,"1,972"
/HP-15-6-inch-Backpacks-Pass-Through-793A6AA/dp/B0BYDXVM5Q,HP 320 15.6-inch Backpacks/Trolley Pass-Through; Padded Back Panel; Padded air mesh Panel/Hand wash and air Dry/Padded Laptop Pocket/1 Year Limited Warranty (793A6AA),599,3.9 out of 5 stars,64
/Gear-Black-Casual-Backpack-BKPCMPUS10110/dp/B00Z9427SK,Gear Campus1 22L Medium Water Resistant School Bag/ College Bag/ Backpack For Men/Women (Black- Royal Blue),595,4.3 out of 5 stars,"4,026"
/NIVIA-Polyester-Shoulder-Compartment-Accessories/dp/B07NJGW3WX,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit (Navy Blue),489,4.0 out of 5 stars,144
/Red-Lemon-Titanium-Multifunctional-Waterproof/dp/B09ZYQH7C5,Red Lemon BANGE Titanium Multifunctional Hard Shell Waterproof Business Travel Laptop Backpack for Men's and Women's (Black) (Medium Size),"4,597",4.0 out of 5 stars,48
/Adjustable-Compartment-Lightweight-Water-Resistant-Travel-Friendly/dp/B0C3R7SN3Q,"Amazon Basics Laptop Messenger Bag with Adjustable Shoulder Strap, Padded Compartment & Storage Pockets, Lightweight, Water-Resistant, Travel-Friendly, Fits Up To 14.1"" Laptops (Unisex, Black & Grey)",649,3.9 out of 5 stars,"1,109"
/Good-Friends-Backpack-Students-Waterproof/dp/B0BPF4QWV2,Good Friends Laptop Bag/Backpack for Boys Girls/Office School College Teens & Students Waterproof School Bag,494,,
/COSMUS-Polyester-Black-Laptop-Backpack/dp/B01FU4B9JG,COSMUS Darwin 29 litres Office Backpack sleek everyday use backpack,"1,192",4.3 out of 5 stars,"10,009"
/HP-15-6-inch-Backpack-Pass-Through-793A7AA/dp/B0BYDWD4VL,HP 330 15.6-inch Laptop Backpack/Trolley Pass-Through; Padded Back Panel; Padded air mesh Panel/Hand wash and air Dry/1 Year Limited Warranty (793A7AA),799,4.3 out of 5 stars,8
/Dyazo-Business-Backpack-Resistant-laptops/dp/B0BRKBKKLY,Dyazo 30 L Slim Business Laptop Backpack Casual Design Water Resistant Backpack for laptops for 15.6 inch laptop (Black),569,4.1 out of 5 stars,127
/Kuber-Industries-Biodegradable-Warehouse-Washroom/dp/B0C3QR3YJV,"Kuber Industries 30 Biodegradable Garbage Bags Small|Plastic Dustbin Bags|Trash Bags For Kitchen, Office, Warehouse, Pantry or Washroom 5 LTR (Black)",63,3.8 out of 5 stars,558
