URL,Description,asin,product Description,manufacturer
https://www.amazon.in/COSMUS-Polyester-Black-Laptop-Backpack/dp/B01FU4B9JG,,,,
https://www.amazon.in/HP-15-6-inch-Backpack-Pass-Through-793A7AA/dp/B0BYDWD4VL,,,,
https://www.amazon.in/Dyazo-Business-Backpack-Resistant-laptops/dp/B0BRKBKKLY,        Dyazo 30 L Slim Business Laptop Backpack Casual Design Water Resistant Backpack for laptops for 15.6 inch laptop (Black)       , B0BRKBKKLY ," HIGH QUALITY FABRIC: The internal and external area of this laptop backpack is made of high quality water resistant Fabric which makes it durable.    Extra Pockets: The backpack has a front large zipper pocket for the Cables, Keys, ID cards, Sanitizer, Pen, Wallet and other small size items.    COMFORTABLE TO USE: Thick and soft cushioning around the shoulder straps and on the back side of the Laptop backpack makes the backpack comfortable to use.    Bag Comes with a Luggage Trolley Strap and Rubber Anti Skid Feets & Side Bottle Compartment Makes it easy to travel & use    LIGHT-WEIGHT: This Laptop Backpack is light weighted but sturdy and durable. WATER- RESISTANT LAPTOP BACKPACK: The fabric used for making this laptop backpack ensures resistance to water.  ","
                ‎Dyazo, Dyazo F 15 Ground Floor Okhala Industrial Area New Delhi 110020 Customer care 7270000727 "
https://www.amazon.in/Kuber-Industries-Biodegradable-Warehouse-Washroom/dp/B0C3QR3YJV,,,,
https://www.amazon.in/COSMUS-Polyester-Black-School-Backpack/dp/B078MFYJ3M,,,,
https://www.amazon.in/Mokobara-Briefcase-Resistant-Compartment-Messenger/dp/B0B6CTQDR8,,,,
https://www.amazon.in/AirCase-C40-Backpack-Rucksacks-Messenger/dp/B07Y8CH69Y,,,,
https://www.amazon.in/Half-Moon-Eclipse-Backpack-Compartment/dp/B0BZMKTWSJ,,,,
https://www.amazon.in/Stylbase-Iron-man-Polyester-Character-Embossed/dp/B0BNKZJ5W6,,,,
https://www.amazon.in/Trajectory-Messenger-Warranty-Compartment-Expandable/dp/B0BCWH8PLC,,,,
https://www.amazon.in/uppercase-Backpack-2300EBP1-repellent-sustainable/dp/B0B69M182Q,,,,
https://www.amazon.in/Genie-compartments-Resistant-Lightweight-Travelling/dp/B0C85YB2S3,,,,
https://www.amazon.in/Gear-Black-Casual-Backpack-BKPCMPUS10110/dp/B00Z9427SK,,,,
https://www.amazon.in/HAMMONDS-FLYCATCHER-unisex-adult-Messenger-Brown/dp/B0916DLR8B,,,,
https://www.amazon.in/NIVIA-Polyester-Shoulder-Compartment-Accessories/dp/B07NJGW3WX,,,,
https://www.amazon.in/Mokobara-Backpack-Leather-Resistant-Laptop/dp/B0B7X8BYQJ,,,,
https://www.amazon.in/Mammon-Womens-Handbag-plain-tan-35x35/dp/B07LBC7Z59,,,,
https://www.amazon.in/FLYNGO-Insulated-School-Tiffine-Storage/dp/B0CJR5Z3ZB,,,,
https://www.amazon.in/amazon-basics-Backpack-Anti-Theft-Charging/dp/B0C8NT6GMJ,,,,
https://www.amazon.in/Trajectory-Messenger-Warranty-Compartment-Expandable/dp/B0BCWH8PLC,,,,
https://www.amazon.in/HARISSONS-15-6-inch-Backpack-Organizers-Detachable/dp/B07M5P5LW3,,,,
https://www.amazon.in/Swiss-Military-Travel-Backpack-Hardshell/dp/B0C3MHG797,,,,
https://www.amazon.in/Martucci-Backpack-College-Reflective-Airport/dp/B0B7DVC3TL,        Martucci Large 35 L Backpack Spacy Unisex/College/School/Travel Backpack with Rain Cover and Reflective Strip       ,,,
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0CKY4GLDB,,,,
https://www.amazon.in/PureWild-Waterproof-Polyester-Backpack-BACKPACK/dp/B0B6GQSZRX,,,,
https://www.amazon.in/DZert-Polyester-Pink-School-Backpack/dp/B077VFZHLL,,,,
https://www.amazon.in/WILDHORN-Leather-inches-Messenger-MB570/dp/B07M9NKYVK,,,,
